,Unnamed: 0,id,description,year,dateBegan,daterestoration,respondent,geographicAreas,NERCRegion,tags,beginTime,restorationTime,numCustomersAffected,demandLoss
428,428,428,Vandalism,2012,6/13/2012,6/13/2012,Public Service Company of New Mexico,New Mexico,WECC,vandalism,16:55:00,22:09:00,0.0,0.0
429,429,429,Severe Weather,2012,6/12/2012,6/14/2012,CenterPoint Energy,Texas,TRE,"severe weather, thunderstorm",15:57:00,04:57:00,175000.0,920.0
430,430,430,Severe Weather,2012,6/11/2012,6/12/2012,Southern Company,Alabama,SERC,"severe weather, thunderstorm",19:50:00,15:00:00,110591.0,368.0
431,431,431,Firm Load,2012,6/8/2012,6/8/2012,Public Service Company of Colorado,Colorado,WECC,load shedding,17:20:00,17:25:00,30379.0,120.0
432,432,432,Vandalism,2012,6/6/2012,6/6/2012,Potomac Electric Power Company (PEPCO),Washington,RFC,vandalism,12:37:00,12:37:00,0.0,0.0
433,433,433,Vandalism,2012,6/6/2012,6/6/2012,New York Power Authority,New York,NPCC,vandalism,08:00:00,08:00:00,,
434,434,434,Vandalism,2012,6/2/2012,6/2/2012,Pacific Gas and Electric Company,California,WECC,vandalism,07:30:00,11:35:00,,
435,435,435,Physical Attack,2012,5/31/2012,6/1/2012,American Electric Power (AEP),Ohio,RFC,"vandalism, physical",23:45:00,04:30:00,0.0,0.0
436,436,436,Physical Attack,2012,5/29/2012,5/29/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",18:30:00,19:40:00,,
437,437,437,Severe Weather,2012,5/29/2012,5/31/2012,Oklahoma Gas & Electric,Oklahoma,SPP,"severe weather, thunderstorm",20:35:00,10:00:00,112000.0,
438,438,438,Physical Attack,2012,5/24/2012,5/25/2012,ISO New England,Massachusetts,NPCC,"vandalism, physical",15:20:00,17:29:00,,
439,439,439,Vandalism,2012,5/11/2012,5/11/2012,Tacoma Power (TPWR),Washington,WECC,vandalism,11:05:00,11:20:00,,
440,440,440,Severe Weather,2012,5/7/2012,5/7/2012,American Electric Power (AEP),Ohio,RFC,"load shedding, severe weather, thunderstorm",17:45:00,18:06:00,1.0,420.0
441,441,441,Vandalism,2012,5/7/2012,5/7/2012,ISO New England,Vermont,NPCC,vandalism,12:50:00,14:00:00,0.0,0.0
442,442,442,Physical Attack,2012,4/23/2012,4/23/2012,Seattle City Light,Washington,WECC,"vandalism, physical",11:56:00,15:35:00,,
443,443,443,Physical Attack,2012,4/23/2012,4/23/2012,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,"vandalism, physical",08:11:00,12:47:00,,
444,444,444,Physical Attack,2012,4/21/2012,4/21/2012,ISO New England,Massachusetts,NPCC,"vandalism, physical",15:02:00,20:09:00,,
445,445,445,Physical Attack,2012,4/21/2012,4/23/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",20:55:00,16:30:00,,
446,446,446,Severe Weather,2012,4/20/2012,4/21/2012,CenterPoint Energy,Texas,TRE,"severe weather, thunderstorm",14:27:00,04:27:00,120377.0,
447,447,447,Physical Attack,2012,4/19/2012,4/19/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",07:53:00,16:00:00,,
448,448,448,Physical Attack,2012,4/17/2012,4/17/2012,San Diego Gas & Electric Company,California,WECC,"vandalism, physical",06:11:00,17:48:00,0.0,0.0
449,449,449,Severe Weather,2012,4/16/2012,4/19/2012,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,"severe weather, wind",15:46:00,02:00:00,111393.0,218.0
450,450,450,Physical Attack,2012,4/15/2012,4/15/2012,Southern Company,Georgia,SERC,"vandalism, physical",19:38:00,21:26:00,,
451,451,451,Physical Attack,2012,4/12/2012,4/12/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",08:08:00,16:30:00,,
452,452,452,Vandalism,2012,4/11/2012,4/11/2012,North Attleborough Electric Department,Massachusetts,NPCC,vandalism,09:00:00,09:00:00,0.0,0.0
453,453,453,Physical Attack,2012,4/7/2012,4/7/2012,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",14:35:00,14:36:00,0.0,0.0
454,454,454,Physical Attack,2012,4/7/2012,4/7/2012,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",12:25:00,12:26:00,0.0,0.0
455,455,455,Physical Attack,2012,4/7/2012,4/7/2012,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",09:31:00,09:32:00,0.0,0.0
456,456,456,Physical Attack,2012,4/4/2012,4/6/2012,Western Area Power Authority - Sierra Nevada Region (WASN),California,WECC,"vandalism, physical",15:32:00,15:30:00,,
457,457,457,Physical Attack,2012,4/3/2012,4/3/2012,Seattle City Light,Washington,WECC,"vandalism, physical",15:33:00,20:25:00,0.0,0.0
458,458,458,Vandalism,2012,4/3/2012,4/3/2012,ISO New England,Vermont,NPCC,vandalism,11:10:00,11:25:00,0.0,0.0
459,459,459,Vandalism,2012,4/1/2012,4/3/2012,Mid American Energy Company,Iowa,MRO,vandalism,20:27:00,08:28:00,0.0,0.0
460,460,460,Physical Attack,2012,3/30/2012,3/30/2012,ISO New England,Vermont,NPCC,"vandalism, physical",11:10:00,11:30:00,,
461,461,461,Electrical System Separation,2012,3/29/2012,3/29/2012,Lansing Board of Water & Light,Michigan,RFC,islanding,12:01:00,12:02:00,0.0,
462,462,462,Physical Attack,2012,3/28/2012,3/28/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",10:17:00,10:17:00,,
463,463,463,Physical Attack,2012,3/26/2012,3/26/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",13:24:00,13:24:00,,
464,464,464,Physical Attack,2012,3/23/2012,3/23/2012,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",19:34:00,19:34:00,0.0,0.0
465,465,465,Severe Weather,2012,3/20/2012,3/20/2012,CenterPoint Energy,Texas,TRE,"severe weather, thunderstorm",08:00:00,13:00:00,96000.0,
466,466,466,Physical Attack,2012,3/16/2012,3/16/2012,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",16:00:00,16:00:00,0.0,0.0
467,467,467,Physical Attack,2012,3/4/2012,3/5/2012,Entergy Corporation,Texas,SERC,"vandalism, physical",13:38:00,11:00:00,,
468,468,468,Physical Attack,2012,3/4/2012,3/4/2012,Potomac Electric Power (Pepco Holdings Inc.),Maryland,RFC,"vandalism, physical",01:27:00,06:58:00,,
469,469,469,Severe Weather,2012,3/2/2012,3/4/2012,Consumers Energy,Michigan,RFC,"severe weather, winter storm",21:00:00,17:30:00,140000.0,50.0
470,470,470,Severe Weather,2012,3/2/2012,3/5/2012,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,"severe weather, winter storm",21:00:00,16:30:00,130000.0,371.0
471,471,471,Equipment Malfunction,2012,3/2/2012,3/2/2012,"City of Piggott, Arkansas",Arkansas,SERC,equipment failure,13:45:00,15:30:00,,
472,472,472,Severe Weather,2012,3/2/2012,3/5/2012,Tennessee Valley Authority (TVA),Tennessee,SERC,"severe weather, tornado",12:37:00,12:01:00,,500.0
473,473,473,Physical Attack,2012,2/28/2012,2/28/2012,Coos Curry Electric Cooperative,Oregon,WECC,"vandalism, physical",07:00:00,07:00:00,,
474,474,474,Electrical System Separation,2012,2/28/2012,2/28/2012,Pacific Gas and Electric,California,WECC,islanding,02:59:00,06:12:00,1.0,1.0
475,475,475,Physical Attack,2012,2/24/2012,2/24/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",11:24:00,11:49:00,,
476,476,476,Physical Attack,2012,2/23/2012,2/23/2012,City of College Station,Texas,TRE,"vandalism, physical",05:45:00,15:02:00,0.0,0.0
477,477,477,Physical Attack,2012,2/23/2012,2/24/2012,ISO New England,New Hampshire,NPCC,"vandalism, physical",23:12:00,01:00:00,0.0,0.0
478,478,478,Severe Weather,2012,2/19/2012,2/21/2012,American Electric Power,West Virginia,SERC,"severe weather, winter storm",17:00:00,07:33:00,90000.0,
479,479,479,Cyber Attack,2012,2/17/2012,2/17/2012,"Entergy Services, Inc",Arkansas,SERC,"vandalism, cyber",03:00:00,11:33:00,,
480,480,480,Physical Attack,2012,2/15/2012,2/15/2012,Puget Sound Energy,Washington,WECC,"vandalism, physical",05:33:00,17:30:00,0.0,0.0
481,481,481,Physical Attack,2012,2/14/2012,2/15/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",19:20:00,16:00:00,,
482,482,482,Physical Attack,2012,2/13/2012,2/13/2012,Progress Energy Carolinas,North Carolina,SERC,"vandalism, physical",07:02:00,16:25:00,,
483,483,483,Physical Attack,2012,2/11/2012,2/11/2012,Xcel Energy (Public Service Company of Colorado),Colorado,WECC,"vandalism, physical",08:47:00,10:30:00,0.0,0.0
484,484,484,Physical Attack,2012,2/11/2012,2/11/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",08:55:00,08:55:00,,
485,485,485,Vandalism,2012,1/29/2012,1/29/2012,Tacoma Power (TPWR),Washington,WECC,vandalism,12:45:00,12:45:00,,
486,486,486,Vandalism,2012,1/27/2012,1/27/2012,Tacoma Power (TPWR),Washington,WECC,vandalism,09:40:00,09:40:00,,
487,487,487,Vandalism,2012,1/24/2012,1/24/2012,Tacoma Power (TPWR),Washington,WECC,vandalism,11:22:00,11:22:00,,
488,488,488,Severe Weather,2012,1/19/2012,1/20/2012,Puget Sound Energy,Washington,WECC,"severe weather, winter storm",07:00:00,15:00:00,426000.0,1600.0
489,489,489,Cyber Attack,2012,1/17/2012,1/17/2012,"Pedernales Electric Cooperative, Inc.",Texas,TRE,"vandalism, cyber",10:31:00,17:21:00,0.0,
490,490,490,Vandalism,2012,1/15/2012,1/15/2012,Tacoma Power (TPWR),Washington,WECC,vandalism,09:35:00,09:35:00,,
491,491,491,Physical Attack,2012,1/13/2012,1/13/2012,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",09:20:00,09:20:00,0.0,0.0
492,492,492,Physical Attack,2012,1/12/2012,1/12/2012,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",08:26:00,08:26:00,0.0,0.0
493,493,493,Physical Attack,2012,1/11/2012,1/11/2012,Nevada Power Company (NV Energy),Nevada,WECC,"vandalism, physical",07:19:00,09:07:00,0.0,0.0
494,494,494,Firm Load,2012,1/10/2012,1/10/2012,Luminant Energy Company LLC,Texas,TRE,load shedding,21:30:00,21:30:00,,
495,495,495,Vandalism,2012,1/9/2012,1/9/2012,ISO New England/Convex,Connecticut,NPCC,vandalism,14:30:00,15:30:00,,
496,496,496,Firm Load,2012,1/9/2012,1/11/2012,The Dow Chemical Company,Louisiana,SERC,load shedding,13:36:00,01:05:00,1.0,150.0
497,497,497,Sabotage,2012,1/5/2012,1/5/2012,American Electric Power,Oklahoma,SPP,vandalism,10:35:00,12:25:00,0.0,0.0
498,498,498,Physical Attack,2012,1/5/2012,1/5/2012,Oklahoma Gas and Electric,Oklahoma,SPP,"vandalism, physical",10:28:00,12:25:00,,
499,499,499,Physical Attack,2012,1/4/2012,1/4/2012,Tacoma Power (TPWR),Washington,WECC,"vandalism, physical",12:14:00,12:14:00,,
500,500,500,Physical Attack,2011,12/31/2011,12/31/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",21:26:00,21:26:00,,
501,501,501,Cyber Attack,2011,12/21/2011,12/21/2011,Idaho Power Company,Idaho,WECC,"vandalism, cyber",10:30:00,10:30:00,0.0,0.0
502,502,502,Physical Attack,2011,12/20/2011,12/20/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",09:30:00,09:31:00,,
503,503,503,Physical Attack,2011,12/20/2011,12/20/2011,PacifiCorp,Oregon,WECC,"vandalism, physical",07:45:00,08:45:00,2500.0,12.0
504,504,504,Physical Attack,2011,12/19/2011,12/19/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",08:48:00,16:00:00,,
505,505,505,Physical Attack,2011,12/13/2011,12/14/2011,Dayton Power & Light,Ohio,RFC,"vandalism, physical",03:19:00,03:19:00,0.0,
506,506,506,Physical Attack,2011,12/8/2011,12/8/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",08:45:00,16:30:00,,
507,507,507,Severe Weather,2011,12/7/2011,12/7/2011,Dominion Virginia Power,Virginia,SERC,severe weather,19:29:00,22:57:00,60000.0,240.0
508,508,508,Public Appeal,2011,12/6/2011,12/6/2011,Montana Dakota Utilities,North Dakota,MRO,public appeal,08:00:00,20:00:00,34500.0,155.0
509,509,509,Physical Attack,2011,12/6/2011,12/7/2011,ITC Holdings,Michigan,RFC,"vandalism, physical",17:38:00,11:04:00,0.0,0.0
510,510,510,Physical Attack,2011,12/5/2011,12/6/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",14:00:00,17:00:00,,
511,511,511,Physical Attack,2011,12/2/2011,12/2/2011,Luminant Energy Company LLC,Texas,TRE,"vandalism, physical",16:15:00,20:30:00,,
512,512,512,Severe Weather,2011,12/1/2011,12/7/2011,Southern California Edison (SCE),California,WECC,severe weather,00:45:00,21:00:00,91690.0,
513,513,513,Severe Weather,2011,12/1/2011,12/2/2011,PacifiCorp,Utah,WECC,severe weather,10:00:00,13:11:00,60000.0,
514,514,514,Severe Weather,2011,12/1/2011,12/2/2011,Pacific Gas and Electric,California,WECC,severe weather,03:29:00,13:05:00,100000.0,300.0
515,515,515,Vandalism,2011,11/30/2011,11/30/2011,City of Tacoma - TPWR,Washington,WECC,vandalism,10:00:00,11:00:00,0.0,0.0
516,516,516,Severe Weather,2011,11/30/2011,12/2/2011,Los Angeles Department of Water and Power,California,WECC,severe weather,16:56:00,10:00:00,150000.0,
517,517,517,Physical Attack,2011,11/22/2011,11/22/2011,Northern Indiana Public Service Co,Indiana,RFC,"vandalism, physical",23:16:00,23:16:00,0.0,0.0
518,518,518,Vandalism,2011,11/14/2011,11/14/2011,Atlantic City Electric,New Jersey,RFC,vandalism,14:24:00,14:24:00,0.0,0.0
519,519,519,Vandalism,2011,11/13/2011,11/13/2011,ISO New England / obo Public Service of New Hampshire,New Hampshire,NPCC,vandalism,11:30:00,12:00:00,0.0,0.0
520,520,520,Vandalism,2011,11/4/2011,11/4/2011,PacifiCorp,Wyoming,WECC,vandalism,10:46:00,10:46:00,0.0,0.0
521,521,521,Severe Weather,2011,10/29/2011,11/3/2011,PPL Electric Utilities,Pennsylvania,RFC,severe weather,12:57:00,23:00:00,146721.0,
522,522,522,Severe Weather,2011,10/29/2011,11/2/2011,"Consolidated Edison Company of NY, Inc",New York,NPCC,severe weather,16:16:00,21:30:00,50000.0,
523,523,523,Severe Weather,2011,10/29/2011,10/31/2011,"Orange and Rockland Utilities, Inc",New York,"NPCC, RFC",severe weather,20:00:00,20:00:00,74000.0,
524,524,524,Severe Weather,2011,10/29/2011,11/7/2011,Metropolitan Edison Company,Pennsylvania,RFC,severe weather,08:59:00,19:58:00,312359.0,
525,525,525,Severe Weather,2011,10/29/2011,11/7/2011,ISO New England,Maine,NPCC,severe weather,16:14:00,16:00:00,1418100.0,
526,526,526,Severe Weather,2011,10/29/2011,11/7/2011,Potomac Edison,Pennsylvania,RFC,severe weather,08:59:00,15:00:00,50000.0,
527,527,527,Severe Weather,2011,10/29/2011,10/31/2011,Exelon Corporation/PECO,Pennsylvania,RFC,severe weather,14:00:00,14:00:00,109335.0,
528,528,528,Severe Weather,2011,10/29/2011,11/7/2011,Jersey Central Power & Light Company,New Jersey,RFC,severe weather,09:59:00,13:00:00,379000.0,
529,529,529,Severe Weather,2011,10/29/2011,11/6/2011,Public Service Electric and Gas Company,New Jersey,RFC,severe weather,14:30:00,12:00:00,197000.0,125.0
530,530,530,Severe Weather,2011,10/29/2011,11/2/2011,Central Hudson Gas & Electric Corp.,New York,NPCC,severe weather,15:00:00,08:15:00,145000.0,
531,531,531,Severe Weather,2011,10/29/2011,11/4/2011,New York State Elec & Gas Corp,New York,NPCC,severe weather,11:18:00,00:00:00,161151.0,
532,532,532,Vandalism,2011,10/27/2011,10/27/2011,Midwest ISO,Indiana,RFC,vandalism,01:00:00,02:36:00,,
533,533,533,Severe Weather,2011,10/26/2011,10/27/2011,Public Service Company of Colorado,Colorado,WECC,severe weather,05:00:00,15:00:00,204000.0,
534,534,534,Physical Attack,2011,10/24/2011,10/26/2011,PJM Interconnection,Pennsylvania,RFC,"vandalism, physical",23:37:00,23:00:00,0.0,0.0
535,535,535,Vandalism,2011,10/20/2011,10/20/2011,Atlantic City Electric,New Jersey,RFC,vandalism,07:15:00,07:15:00,0.0,0.0
536,536,536,Physical Attack,2011,10/18/2011,10/18/2011,PECO Energy,Pennsylvania,RFC,"vandalism, physical",03:45:00,05:25:00,0.0,0.0
537,537,537,Vandalism,2011,10/17/2011,10/17/2011,Duke Energy,Ohio,RFC,vandalism,15:44:00,15:44:00,2000.0,7.0
538,538,538,Vandalism,2011,10/17/2011,10/17/2011,Potomac Electric Power Company,Maryland,RFC,vandalism,03:34:00,10:42:00,0.0,0.0
539,539,539,Vandalism,2011,10/14/2011,10/14/2011,Atlantic City Electric,New Jersey,RFC,vandalism,14:20:00,14:20:00,0.0,0.0
540,540,540,Physical Attack,2011,10/7/2011,10/7/2011,City of Tacoma - TPWR,Washington,WECC,"vandalism, physical",08:04:00,16:00:00,,
541,541,541,Vandalism,2011,10/6/2011,10/6/2011,PacifiCorp,Utah,WECC,vandalism,11:07:00,11:07:00,0.0,0.0
542,542,542,Physical Attack,2011,9/30/2011,9/30/2011,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",08:22:00,08:22:00,0.0,0.0
543,543,543,Vandalism,2011,9/29/2011,9/30/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,18:44:00,16:00:00,,
544,544,544,Severe Weather,2011,9/29/2011,9/30/2011,CenterPoint Energy,Texas,TRE,severe weather,05:00:00,06:00:00,65000.0,
545,545,545,Physical Attack,2011,9/28/2011,9/28/2011,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",16:41:00,16:41:00,0.0,0.0
546,546,546,Vandalism,2011,9/28/2011,9/28/2011,Atlantic City Electric,New Jersey,RFC,vandalism,14:59:00,14:59:00,0.0,0.0
547,547,547,Vandalism,2011,9/28/2011,9/28/2011,ISO New England/Convex,Connecticut,NPCC,vandalism,09:30:00,13:00:00,,
548,548,548,Vandalism,2011,9/26/2011,9/26/2011,Atlantic City Electric,New Jersey,RFC,vandalism,10:15:00,10:15:00,0.0,0.0
549,549,549,Vandalism,2011,9/24/2011,9/25/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,16:17:00,16:00:00,,
550,550,550,Vandalism,2011,9/23/2011,9/23/2011,The United Illuminating Company,Connecticut,NPCC,vandalism,09:04:00,09:04:00,0.0,0.0
551,551,551,Vandalism,2011,9/22/2011,9/22/2011,Dayton Power & Light,Ohio,RFC,vandalism,14:50:00,14:51:00,0.0,
552,552,552,Firm Load,2011,9/21/2011,9/21/2011,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,load shedding,14:37:00,15:47:00,319616.0,600.0
553,553,553,Physical Attack,2011,9/21/2011,9/21/2011,Delmarva Power & Light Company,Delaware,RFC,"vandalism, physical",10:30:00,10:30:00,0.0,0.0
554,554,554,Vandalism,2011,9/20/2011,9/20/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,12:55:00,17:00:00,,
555,555,555,Vandalism,2011,9/14/2011,9/14/2011,PacifiCorp,Utah,WECC,vandalism,09:00:00,14:00:00,0.0,0.0
556,556,556,Vandalism,2011,9/13/2011,9/13/2011,New York Power Authority,New York,NPCC,vandalism,14:03:00,18:21:00,0.0,
557,557,557,Vandalism,2011,9/13/2011,9/14/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,11:43:00,16:00:00,,
558,558,558,Vandalism,2011,9/12/2011,9/12/2011,Atlantic City Electric,New Jersey,RFC,vandalism,09:15:00,15:30:00,0.0,0.0
559,559,559,Vandalism,2011,9/8/2011,9/9/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,19:53:00,16:00:00,,
560,560,560,Firm Load,2011,9/8/2011,9/10/2011,WECC Reliability Coordinator,California,WECC,"transmission interruption, distribution interruption",15:28:00,15:30:00,2000000.0,7000.0
561,561,561,Physical Attack,2011,9/7/2011,9/7/2011,ISO New England,New York,NPCC,"vandalism, physical",00:08:00,10:50:00,0.0,0.0
562,562,562,Severe Weather,2011,9/5/2011,9/7/2011,Southern Company,Alabama,SERC,severe weather,16:30:00,15:45:00,53295.0,177.0
563,563,563,Severe Weather,2011,9/3/2011,9/8/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,severe weather,14:00:00,18:00:00,105000.0,
564,564,564,Vandalism,2011,9/1/2011,9/1/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,08:13:00,16:00:00,,
565,565,565,Physical Attack,2011,8/31/2011,8/31/2011,Duke Energy,Ohio,RFC,"vandalism, physical",12:52:00,12:52:00,0.0,0.0
566,566,566,Physical Attack,2011,8/28/2011,8/28/2011,PacifiCorp,Oregon,WECC,"vandalism, physical",20:55:00,23:39:00,0.0,0.0
567,567,567,Severe Weather,2011,8/28/2011,8/28/2011,"Orange and Rockland Utilities, Inc.",New York,NPCC,severe weather,12:30:00,12:31:00,116000.0,
568,568,568,Severe Weather,2011,8/28/2011,8/28/2011,ISO New England,Massachusetts,NPCC,severe weather,12:10:00,12:11:00,50000.0,
569,569,569,Severe Weather,2011,8/28/2011,8/29/2011,The United illuminating Company,Connecticut,NPCC,severe weather,07:40:00,07:40:00,158000.0,
570,570,570,Severe Weather,2011,8/28/2011,9/3/2011,"Consolidated Edison Company of NY, Inc.",New York,NPCC,severe weather,05:01:00,05:01:00,50000.0,
571,571,571,Severe Weather,2011,8/28/2011,8/30/2011,Long Island Power Authority,New York,NPCC,severe weather,05:00:00,05:00:00,152261.0,
572,572,572,Severe Weather,2011,8/28/2011,8/30/2011,PPL Electric Utilities,Pennsylvania,RFC,severe weather,02:58:00,02:58:00,284000.0,110.0
573,573,573,Severe Weather,2011,8/28/2011,8/30/2011,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,RFC,severe weather,00:30:00,00:30:00,650000.0,
574,574,574,Severe Weather,2011,8/28/2011,8/30/2011,Public Service Electric and Gas Company,New Jersey,RFC,severe weather,00:23:00,00:23:00,665000.0,500.0
575,575,575,Severe Weather,2011,8/28/2011,9/3/2011,New York State Electric & Gas Corporation,New York,NPCC,severe weather,07:00:00,00:01:00,99700.0,
576,576,576,Severe Weather,2011,8/28/2011,8/30/2011,Niagara Mohawk Power Corporation,New York,NPCC,severe weather,09:42:00,00:01:00,100000.0,
577,577,577,Severe Weather,2011,8/28/2011,8/30/2011,Central Hudson Gas & Electric,New York,NPCC,severe weather,00:01:00,00:01:00,180000.0,
578,578,578,Severe Weather,2011,8/27/2011,9/4/2011,Baltimore Gas and Electric Company,Maryland,RFC,severe weather,20:30:00,23:30:00,760113.0,1114.0
579,579,579,Severe Weather,2011,8/27/2011,8/29/2011,Progress Energy Carolinas,North Carolina,SERC,severe weather,02:57:00,23:30:00,285465.0,
580,580,580,Severe Weather,2011,8/27/2011,8/29/2011,Exelon Corporation / PECO,Pennsylvania,RFC,severe weather,22:00:00,22:00:00,264000.0,
581,581,581,Severe Weather,2011,8/27/2011,8/29/2011,Atlantic City Electric Company,New Jersey,RFC,severe weather,22:00:00,16:00:00,140000.0,320.0
582,582,582,Severe Weather,2011,8/27/2011,8/29/2011,Pepco,Maryland,RFC,severe weather,23:05:00,15:30:00,220000.0,
583,583,583,Severe Weather,2011,8/27/2011,8/29/2011,Dominion Virginia Power,North Carolina,SERC,severe weather,10:33:00,14:00:00,1000000.0,
584,584,584,Severe Weather,2011,8/27/2011,8/29/2011,North Carolina Eastern Municipal Power Agency,North Carolina,SERC,severe weather,19:00:00,13:31:00,136000.0,200.0
585,585,585,Severe Weather,2011,8/27/2011,8/29/2011,Delmarva Power & Light Company,Maryland,RFC,severe weather,13:00:00,13:00:00,165000.0,
586,586,586,Severe Weather,2011,8/27/2011,8/29/2011,Southern Maryland Electric Cooperative (SMECO),Maryland,RFC,severe weather,23:00:00,08:00:00,108000.0,
587,587,587,System Interruption,2011,8/27/2011,8/27/2011,Town of Stantonsburg JRO,North Carolina,SERC,distribution interruption,02:00:00,05:15:00,1200.0,2.0
588,588,588,Severe Weather,2011,8/26/2011,8/28/2011,FirstEnergy Corp: Metropolitan Edison Company,Pennsylvania,RFC,severe weather,00:30:00,00:30:00,200717.0,
589,589,589,Severe Weather,2011,8/25/2011,8/28/2011,FirstEnergy Corp: Cleveland Electric Illuminating Company,Ohio,RFC,severe weather,00:30:00,20:00:00,107833.0,
590,590,590,Physical Attack,2011,8/25/2011,8/25/2011,Central Maine Power Company,Maine,NPCC,"vandalism, physical",00:01:00,00:01:00,0.0,0.0
591,591,591,Severe Weather,2011,8/24/2011,8/24/2011,American Electric Power (AEP),Texas,SPP,severe weather,14:51:00,22:00:00,53064.0,
592,592,592,Public Appeal,2011,8/24/2011,8/29/2011,ERCOT ISO,Texas,TRE,public appeal,13:20:00,19:00:00,0.0,0.0
593,593,593,Severe Weather,2011,8/24/2011,8/25/2011,CenterPoint Energy,Texas,TRE,severe weather,07:45:00,06:00:00,79000.0,485.0
594,594,594,Public Appeal,2011,8/23/2011,8/23/2011,ERCOT ISO,Texas,TRE,public appeal,15:43:00,19:00:00,0.0,0.0
595,595,595,Public Appeal,2011,8/23/2011,8/23/2011,Southwestern Public Service Company,Texas,SPP,public appeal,10:30:00,16:54:00,0.0,0.0
596,596,596,Earthquake,2011,8/23/2011,8/23/2011,Dominion Virginia Power,Virginia,RFC,earthquake,13:51:00,13:51:00,0.0,0.0
597,597,597,Physical Attack,2011,8/22/2011,8/22/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",10:05:00,16:00:00,,
598,598,598,Severe Weather,2011,8/21/2011,8/23/2011,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,severe weather,22:45:00,22:45:00,931000.0,2200.0
599,599,599,Severe Weather,2011,8/20/2011,8/23/2011,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,severe weather,17:42:00,20:00:00,65000.0,254.0
600,600,600,Physical Attack,2011,8/18/2011,8/18/2011,City of Tacoma (TPWR),Washington,WECC,"vandalism, physical",09:51:00,16:00:00,,
601,601,601,Vandalism,2011,8/15/2011,8/15/2011,PacifiCorp,Utah,WECC,vandalism,02:05:00,03:40:00,0.0,0.0
602,602,602,Severe Weather,2011,8/13/2011,8/14/2011,LG&E and KU Energy LLC,Kentucky,SERC,severe weather,16:41:00,19:00:00,181700.0,
603,603,603,Vandalism,2011,8/9/2011,8/9/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,10:26:00,17:00:00,,
604,604,604,Severe Weather,2011,8/8/2011,8/10/2011,Oklahoma Gas & Electric,Oklahoma,SPP,severe weather,20:58:00,16:30:00,54000.0,
605,605,605,Vandalism,2011,8/8/2011,8/8/2011,City of Tacoma (TPWR),Washington,WECC,vandalism,09:35:00,16:00:00,,
606,606,606,Electrical System Separation,2011,8/8/2011,8/9/2011,Oklahoma Municipal Power Authority,Oklahoma,SPP,islanding,19:36:00,12:00:00,14500.0,92.0
607,607,607,Physical Attack,2011,8/8/2011,8/8/2011,Dayton Power & Light,Ohio,RFC,"vandalism, physical",09:30:00,09:30:00,0.0,0.0
608,608,608,Public Appeal,2011,8/4/2011,8/4/2011,American Electric Power (AEP),Texas,SPP,public appeal,10:30:00,16:00:00,,
609,609,609,Public Appeal,2011,8/3/2011,8/3/2011,Grand River Dam Authority,Oklahoma,SPP,public appeal,16:29:00,23:40:00,,300.0
610,610,610,Public Appeal,2011,8/3/2011,8/3/2011,Entergy,Arkansas,SPP,public appeal,16:30:00,21:00:00,0.0,0.0
